date,mode,time_elapsed,distance
2020-3-17,bike,65,30
2020-3-17,erg,65,15
2020-3-18,bike,75,35
2020-3-18,erg,45,10
2020-3-18,lift,70,0
2020-3-19,bike,75,35
2020-3-19,run,50,8
2020-3-20,bike,100,40
2020-3-20,lift,70,0
2020-3-21,erg,80,18.5
2020-3-21,erg,40,8
2020-3-22,erg,45,10
2020-3-23,bike,75,35
2020-3-23,bike,22,10
2020-3-23,erg,45,10
2020-3-24,erg,65,15
2020-3-24,erg,45,10
2020-3-24,lift,70,0
2020-3-25,erg,65,15
2020-3-25,bike,65,30
2020-3-26,erg,45,10
2020-3-26,bike,90,40
2020-3-27,erg,45,10
2020-3-27,lift,70,0
2020-3-28,erg,60,14
2020-3-28,bike,20,9
2020-3-28,erg,40,8
2020-3-30,run,65,11.5
2020-3-30,erg,75,17
2020-3-31,lift,90,0
2020-3-31,bike,75,35
2020-4-1,erg,65,15
2020-4-1,bike,45,20
2020-4-2,erg,80,18
2020-4-2,run,70,12
2020-4-3,lift,90,0
2020-4-3,bike,90,40
2020-4-4,erg,90,20
2020-4-4,erg,40,8
2020-4-5,bike,60,27
2020-4-6,erg,25,5.5
2020-4-6,bike,25,11
2020-4-6,run,25,4.5
2020-4-6,erg,75,17
2020-4-7,lift,90,0
2020-4-7,erg,45,10
2020-4-7,bike,22,10
2020-4-8,erg,65,15
2020-4-8,bike,60,26
2020-4-9,erg,80,18
2020-4-9,run,40,7
2020-4-9,bike,30,14
2020-4-10,lift,80,0
2020-4-10,bike,65,30
2020-4-11,erg,90,22
2020-4-11,bike,70,30
2020-4-11,bike,25,10
2020-4-11,erg,100,22.2
2020-4-12,erg,90,20
2020-4-12,bike,70,30
2020-4-12,erg,100,22.2
2020-4-12,bike,30,14
2020-4-13,run,45,7
2020-4-14,erg,45,10
2020-4-14,bike,45,20
2020-4-15,lift,80,0
2020-4-15,erg,45,10
2020-4-15,bike,45,20
2020-4-16,run,50,8.5
2020-4-17,lift,80,0
2020-4-17,bike,75,35
2020-4-18,erg,45,10
2020-4-18,erg,22,5
2020-4-18,bike,22,10
2020-4-19,bike,160,65
2020-4-20,erg,65,15
2020-4-20,bike,65,30